UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1685,L51362,L,302.4,310.7,1362,54.8,155,1,Heat Dissipation Failure
1686,L51364,L,302.2,310.6,1334,53.2,159,1,Heat Dissipation Failure
1687,L51365,L,302.2,310.6,1348,48.4,161,1,Heat Dissipation Failure
1688,M19067,M,302.3,310.9,1710,30.4,218,1,Tool Wear Failure
1689,L51391,L,302.1,310.7,1314,52.8,8,1,Heat Dissipation Failure
1690,L51405,L,302.1,310.7,1359,49.3,41,1,Heat Dissipation Failure
1691,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
1692,L47249,L,298.9,309,1410,65.7,191,1,Power Failure
1693,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
1694,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
1695,L54773,L,300.5,311.2,1270,67.5,208,1,Overstrain Failure
1696,L54849,L,300.7,311.8,1336,58.4,189,1,Overstrain Failure
1697,M22547,M,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
1698,L54936,L,300.5,311.8,1368,57.9,191,1,Overstrain Failure
1699,L54939,L,300.4,311.8,1272,59.2,198,1,Overstrain Failure
1700,L54943,L,300.4,311.6,1200,76.6,3,1,Power Failure
1701,M22709,M,300.3,311.7,1374,47.9,222,1,Tool Wear Failure
1702,L55064,L,300.8,312.4,1465,59.1,91,1,Power Failure
1703,L55106,L,300.7,311.9,1335,57.1,194,1,Overstrain Failure
1704,M22857,M,301,312.2,2710,9.7,143,1,Power Failure
1705,L55206,L,300.7,311.9,1399,50.2,222,1,Overstrain Failure
1706,M22971,M,300.4,311.8,1553,33.1,209,1,Tool Wear Failure
1707,L55372,L,299.6,310.9,1229,65.2,209,1,Overstrain Failure
1708,L55375,L,299.4,310.8,1376,53.9,215,1,Overstrain Failure
1709,L55379,L,299.2,310.7,1737,27,225,1,Tool Wear Failure
1710,M23105,M,299,310.3,1303,68.6,111,1,Power Failure
1711,M23167,M,298.7,310.1,1402,69.7,64,1,Power Failure
1712,L55537,L,298.5,309.5,1385,46.3,203,1,Tool Wear Failure
1713,L55578,L,298.5,309.7,2617,12.1,102,1,Power Failure
1714,L55617,L,298.7,309.8,1181,65.9,203,1,Overstrain Failure
1715,L55686,L,298.4,309.6,1710,27.3,163,1,No Failure
1716,M23442,M,297.5,308.1,1334,72,151,1,Power Failure
1717,L55788,L,297.4,308.4,1369,50.6,220,1,Overstrain Failure
1718,L55789,L,297.4,308.3,1475,40.5,222,1,Tool Wear Failure
1719,L55870,L,297.1,308.5,1323,44.4,207,1,Tool Wear Failure
1720,M23706,M,297.4,308.8,1325,62.4,204,1,Tool Wear Failure
1721,M23786,M,297.3,308.3,1459,59.6,207,1,Power Failure
1722,M23874,M,297.2,308.1,1340,61.3,207,1,Overstrain Failure
1723,L56195,L,297.2,308.1,1431,49.7,210,1,No Failure
1724,L56196,L,297.3,308.2,1396,52.7,212,1,Overstrain Failure
1725,L56198,L,297.3,308.1,1615,35.4,217,1,Tool Wear Failure
1726,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure
1727,L56354,L,297.8,308.9,1871,25.6,200,1,Tool Wear Failure
1728,L56355,L,297.8,309,1403,64.2,0,1,Power Failure
1729,L56594,L,298.1,308.6,1354,53.9,207,1,Overstrain Failure
1730,L56673,L,299.1,309.8,1398,55.4,217,1,Overstrain Failure
1731,L56756,L,299.6,310.7,1922,23.3,205,1,Tool Wear Failure
1732,L56793,L,299,310.2,1377,62.5,92,1,Power Failure
1733,L56833,L,299,309.9,1373,55.7,201,1,Overstrain Failure
1734,L56834,L,299.1,310,1367,56.3,203,1,Overstrain Failure
1735,L56839,L,298.9,309.8,1287,61.9,216,1,Overstrain Failure
1736,L56843,L,299.1,310.1,1435,48.8,229,1,Overstrain Failure
1737,L56844,L,299.1,310.2,1317,54.8,231,1,Overstrain Failure
1738,L56847,L,299.2,310.3,1352,48.9,238,1,Overstrain Failure
1739,L56938,L,298.6,309.8,2271,16.2,218,1,Tool Wear Failure
1740,L56944,L,298.5,309.5,1294,66.7,12,1,Power Failure
1741,L57002,L,298.5,309.4,1360,60.9,187,1,Overstrain Failure
1742,L57010,L,298.3,309.3,1337,56.1,206,1,Overstrain Failure
1743,L57154,L,298.6,308.2,1361,68.2,172,1,Power Failure
1744,L51251,L,301.9,310.6,1331,68.6,85,1,Power Failure
1745,H33492,H,302.1,310.7,1294,62.4,101,1,Heat Dissipation Failure
1746,L51260,L,302,310.4,1357,58,108,1,Heat Dissipation Failure
1747,L51261,L,302,310.4,1336,58.2,110,1,Heat Dissipation Failure
1748,L51267,L,301.9,310.4,1376,54.9,126,1,Heat Dissipation Failure
1749,L51276,L,301.9,310.4,1370,51.7,153,1,Heat Dissipation Failure
1750,L51297,L,301.9,310.5,1340,55.7,204,1,Overstrain Failure
1751,L51299,L,302.1,310.7,1325,45.1,208,1,Heat Dissipation Failure
1752,M18980,M,302.1,310.7,1376,46.3,210,1,Heat Dissipation Failure
1753,M18981,M,302.1,310.7,1364,47.8,213,1,Heat Dissipation Failure
1754,L51310,L,301.9,310.4,1286,62.8,22,1,Heat Dissipation Failure
1755,L51318,L,301.7,310.2,1311,57.4,40,1,Heat Dissipation Failure
1756,L51320,L,301.7,310.2,1331,61.2,47,1,Heat Dissipation Failure
1757,M19011,M,301.9,310.4,1373,48,73,1,Heat Dissipation Failure
1758,M19013,M,302,310.4,1212,55.6,79,1,Heat Dissipation Failure
1759,L51335,L,302,310.5,1370,44.4,85,1,Heat Dissipation Failure
1760,L51337,L,302,310.5,1263,60.6,90,1,Heat Dissipation Failure
1761,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
1762,L47249,L,298.9,309,1410,65.7,191,1,Power Failure
1763,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
1765,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
1766,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
1767,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
1768,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
1769,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure
1770,L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure
1771,L47428,L,298,308.3,1362,56.8,216,1,Overstrain Failure
1772,L47429,L,298,308.3,1405,56.2,218,1,Overstrain Failure
1773,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure
1774,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
1775,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
1776,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure
1777,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
1778,L47766,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure
1779,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
1780,L47926,L,296.8,308.1,1289,62,199,1,Overstrain Failure
1781,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
1782,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
1783,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
1784,L48106,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure
1786,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure
1787,L48265,L,297,307.8,1385,56.4,202,1,Overstrain Failure
1788,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure
1789,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1791,H30537,H,296.6,307.7,1386,62.3,100,1,Power Failure
1792,M15984,M,296.7,307.8,1258,69,105,1,Power Failure
1793,L48324,L,297,307.9,1296,69.1,153,1,Power Failure
1794,L48341,L,297,307.8,1316,61.2,200,1,Overstrain Failure
1795,L48342,L,296.9,307.8,1400,57.1,202,1,Overstrain Failure
1796,L48347,L,297,308.1,1362,52.5,213,1,Overstrain Failure
1797,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
1798,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
1799,L48514,L,299,310.4,1365,49.1,226,1,Overstrain Failure
1800,L48515,L,299,310.4,1371,53.8,228,1,Overstrain Failure
1801,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1802,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure
1803,H30851,H,298.8,309.9,1439,45.2,40,1,No Failure
1804,M16352,M,298,308.7,1479,58.5,176,1,Power Failure
1805,L48676,L,298,308.7,1268,69.4,189,1,Power Failure
1806,L48689,L,298,308.5,1429,37.7,220,1,Tool Wear Failure
1807,L48763,L,298.2,308.4,1310,61,189,1,Overstrain Failure
1808,L48775,L,298,308.2,1365,52.9,218,1,Overstrain Failure
1810,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1811,L48943,L,298.2,307.6,1511,31,209,1,Tool Wear Failure
1812,L48964,L,298.3,308,2886,3.8,57,1,Power Failure
1813,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
1814,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1815,L49013,L,297.8,307.3,1327,61,186,1,Overstrain Failure
1816,M16856,M,298.4,308,1416,38.2,198,1,Tool Wear Failure
1817,L49195,L,298.5,308.2,1301,66.3,42,1,Power Failure
1818,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure
1819,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
1820,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
1821,L49413,L,299.5,308.7,2549,13,179,1,Power Failure
1822,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
2018,L49479,L,299.4,308.7,1446,62.9,134,1,Power Failure
2019,L49511,L,299.3,308.6,1384,53.6,218,1,Overstrain Failure
2020,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure
2021,M17286,M,298.9,308.2,1372,63.6,30,1,Power Failure
2022,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure
2023,L49674,L,299.1,308.8,1329,53.6,207,1,Overstrain Failure
2024,L49682,L,299.2,309,1515,48.9,228,1,Overstrain Failure
2025,L49761,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure
2026,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure
2027,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure
2028,M17609,M,299.7,309.2,1685,28.9,179,1,No Failure
2029,L49941,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure
2030,L50038,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure
2031,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure
2032,M17739,M,300.6,309.4,1367,63.2,45,1,Power Failure
2033,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
2034,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
2035,L50199,L,300.5,309.8,1379,54.2,207,1,Overstrain Failure
2036,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
2037,M18096,M,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure
2038,L50446,L,301.3,310.1,1269,56.8,195,1,Overstrain Failure
2039,L50530,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure
2040,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure
2041,L50549,L,301.5,310.9,2760,8,15,1,Power Failure
2042,M18317,M,301.5,310.4,2639,12,21,1,Power Failure
2043,L50708,L,302,310.9,1378,53.1,212,1,Overstrain Failure
2044,L50709,L,301.9,310.9,1567,39,214,1,Tool Wear Failure
2045,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
2046,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
2047,L50864,L,302,311.2,1270,65.3,182,1,Overstrain Failure
2048,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
2049,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure
2050,L50967,L,302.3,310.8,1377,47.3,22,1,Heat Dissipation Failure
2051,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure
2052,M18666,M,302.3,310.9,1360,44,67,1,Heat Dissipation Failure
2053,M18674,M,302.1,310.6,1326,59.1,88,1,Heat Dissipation Failure
2054,H33243,H,302.3,310.9,1366,48.4,130,1,Heat Dissipation Failure
2055,L51034,L,302.4,311,1338,67.6,194,1,Power Failure
2056,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure
2057,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
2058,L51108,L,302.6,311.5,1442,59.8,169,1,Power Failure
2059,M18795,M,302.6,311.6,1227,68.2,187,1,Overstrain Failure
2060,L51123,L,302.3,311.4,1333,66.7,205,1,Power Failure
2061,L51182,L,302.1,311.2,1454,59.2,153,1,Power Failure
2062,M18884,M,302.1,311,1351,60.3,207,1,Overstrain Failure
2063,L51212,L,302,310.8,1383,50.3,231,1,Overstrain Failure
2064,L51214,L,302,310.8,1615,29,235,1,Tool Wear Failure
2065,M18904,M,301.9,310.9,1419,47.7,20,1,No Failure
2066,L51228,L,301.9,311,2691,12.1,31,1,Power Failure
2067,M19143,M,301.8,309.9,1334,61,182,1,Heat Dissipation Failure
2068,L51465,L,301.7,309.9,1317,49,187,1,Heat Dissipation Failure
2069,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
2070,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
2071,L51487,L,301.4,309.9,1259,63.9,20,1,Heat Dissipation Failure
2072,L51503,L,301.8,310.3,1341,50.5,64,1,Heat Dissipation Failure
2073,L51506,L,301.6,310.1,1362,55.8,70,1,Heat Dissipation Failure
2074,L51508,L,301.6,310.1,1326,48.2,77,1,Heat Dissipation Failure
2075,M19202,M,301.7,309.8,1284,68.2,111,1,Power Failure
2077,M19213,M,302,309.7,1386,62.7,142,1,Power Failure
2078,H33769,H,302,309.8,1280,57.3,147,1,Heat Dissipation Failure
2079,M19221,M,302.1,310.1,1379,48.2,166,1,Heat Dissipation Failure
2080,L51550,L,302,309.9,1308,57.6,197,1,Heat Dissipation Failure
2081,L51563,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
2082,L51565,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
2083,M19249,M,302.1,310,1355,45.1,6,1,Heat Dissipation Failure
2084,M19251,M,302.2,310.1,1368,51.6,12,1,Heat Dissipation Failure
2085,L51580,L,302.3,310.1,1353,50.9,36,1,Heat Dissipation Failure
2086,L51585,L,302.4,310.2,1331,45.5,53,1,Heat Dissipation Failure
2087,L51586,L,302.5,310.3,1326,58.5,55,1,Heat Dissipation Failure
2088,M19269,M,302.4,310.1,1358,54.6,61,1,Heat Dissipation Failure
2089,L51597,L,302.6,310.4,1365,66.8,80,1,Power Failure
2090,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
2091,L51601,L,302.6,310.2,1325,62.4,92,1,Heat Dissipation Failure
2092,M19287,M,302.4,310.1,1379,48.9,107,1,Heat Dissipation Failure
2093,L51615,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
2094,L51621,L,302.5,310.2,1329,50.6,148,1,Heat Dissipation Failure
2095,L51628,L,302.4,310.3,1374,51.2,163,1,Heat Dissipation Failure
2096,M19309,M,302.4,310.3,1378,54.3,165,1,Heat Dissipation Failure
2097,L51642,L,302.7,310.5,1263,67.8,197,1,Heat Dissipation Failure
2098,L51649,L,302.7,310.5,1446,40.9,211,1,Tool Wear Failure
2099,L51655,L,302.7,310.5,1351,41.8,10,1,Heat Dissipation Failure
2100,H33894,H,302.7,310.4,1305,55.2,20,1,Heat Dissipation Failure
2101,L51675,L,302.6,310.4,1359,57.2,67,1,Heat Dissipation Failure
2102,L51681,L,302.5,310.2,1307,54,86,1,Heat Dissipation Failure
2103,L51690,L,302.4,310.2,1346,62.4,106,1,Heat Dissipation Failure
2104,M19387,M,302.4,310.5,1372,45.7,144,1,Heat Dissipation Failure
2105,M19393,M,302.4,310.3,1375,52.5,161,1,Heat Dissipation Failure
2106,L51716,L,302.4,310.2,1351,45.1,168,1,Heat Dissipation Failure
2107,L51724,L,302.5,310.4,1349,55.1,187,1,Heat Dissipation Failure
2108,M19416,M,302.7,310.6,1349,51.2,6,1,Heat Dissipation Failure
2109,L51738,L,302.7,310.7,1369,47.5,11,1,Heat Dissipation Failure
2110,H33979,H,302.7,310.8,1275,55,25,1,Heat Dissipation Failure
2111,L51750,L,302.8,310.9,1312,52.2,40,1,Heat Dissipation Failure
2112,L51759,L,303,311.2,1374,48.2,65,1,Heat Dissipation Failure
2113,L51776,L,303,311.2,1361,47.6,106,1,Heat Dissipation Failure
2114,L51780,L,303,311,1359,44.2,115,1,Heat Dissipation Failure
2115,M19461,M,303,311.1,1372,54.3,117,1,Heat Dissipation Failure
2116,L51791,L,303,311.3,1365,56.2,146,1,Heat Dissipation Failure
2117,M19478,M,303,311.3,1335,53.6,164,1,Heat Dissipation Failure
2118,L51800,L,303.1,311.3,1336,52.6,172,1,Heat Dissipation Failure
2119,L51801,L,303,311.2,1341,51,174,1,Heat Dissipation Failure
2120,M19492,M,302.9,311.2,1330,53.7,200,1,Heat Dissipation Failure
2121,L51822,L,303.2,311.4,1238,54.6,226,1,Heat Dissipation Failure
2122,L51823,L,303.2,311.4,1324,54.2,228,1,Heat Dissipation Failure
2123,L51826,L,303.3,311.4,1497,46,234,1,Tool Wear Failure
2124,L51831,L,303.2,311.4,1349,51.1,9,1,Heat Dissipation Failure
2125,L51841,L,303.3,311.3,1350,48.1,32,1,Heat Dissipation Failure
2127,M19525,M,303.4,311.4,1307,54,44,1,Heat Dissipation Failure
2128,M19529,M,303.3,311.5,1373,47.3,60,1,Heat Dissipation Failure
2129,M19544,M,303.6,311.8,1421,44.8,101,1,No Failure
2130,L51882,L,303.6,311.8,1222,66.8,148,1,Heat Dissipation Failure
2131,L51898,L,303.3,311.6,1337,56.8,187,1,Heat Dissipation Failure
2132,M19580,M,303.4,311.7,1353,44.1,192,1,Heat Dissipation Failure
2133,L51903,L,303.4,311.8,1366,50.9,200,1,Heat Dissipation Failure
2134,M19587,M,303.4,311.8,1341,47,210,1,Heat Dissipation Failure
2135,L51909,L,303.4,311.8,1306,61,215,1,Heat Dissipation Failure
2136,L51911,L,303.3,311.6,1301,45.1,219,1,Heat Dissipation Failure
2137,M19597,M,303.2,311.5,1336,58.2,2,1,Heat Dissipation Failure
2138,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
2139,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
2140,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
2141,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure
2142,L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure
2143,L47428,L,298,308.3,1362,56.8,216,1,Overstrain Failure
2144,L47429,L,298,308.3,1405,56.2,218,1,Overstrain Failure
2145,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure
2146,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
2147,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
2148,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure
2149,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
2150,L47766,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure
2151,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
2152,L47926,L,296.8,308.1,1289,62,199,1,Overstrain Failure
2153,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
2154,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
2155,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
2156,L48106,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure
2157,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure
2158,L48265,L,297,307.8,1385,56.4,202,1,Overstrain Failure
2159,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure
2160,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
2161,H30537,H,296.6,307.7,1386,62.3,100,1,Power Failure
2162,M15984,M,296.7,307.8,1258,69,105,1,Power Failure
2163,L48324,L,297,307.9,1296,69.1,153,1,Power Failure
2164,L48341,L,297,307.8,1316,61.2,200,1,Overstrain Failure
2165,L48342,L,296.9,307.8,1400,57.1,202,1,Overstrain Failure
2166,L48347,L,297,308.1,1362,52.5,213,1,Overstrain Failure
2168,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
2169,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
2170,L48514,L,299,310.4,1365,49.1,226,1,Overstrain Failure
2171,L48515,L,299,310.4,1371,53.8,228,1,Overstrain Failure
2172,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
2173,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure
2174,H30851,H,298.8,309.9,1439,45.2,40,1,No Failure
2175,M16352,M,298,308.7,1479,58.5,176,1,Power Failure
2176,L48676,L,298,308.7,1268,69.4,189,1,Power Failure
2177,L48689,L,298,308.5,1429,37.7,220,1,Tool Wear Failure
2178,L48763,L,298.2,308.4,1310,61,189,1,Overstrain Failure
2179,L48775,L,298,308.2,1365,52.9,218,1,Overstrain Failure
2180,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
2181,L48943,L,298.2,307.6,1511,31,209,1,Tool Wear Failure
2182,L48964,L,298.3,308,2886,3.8,57,1,Power Failure
2183,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
2184,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
2185,L49013,L,297.8,307.3,1327,61,186,1,Overstrain Failure
2186,M16856,M,298.4,308,1416,38.2,198,1,Tool Wear Failure
2187,L49195,L,298.5,308.2,1301,66.3,42,1,Power Failure
2188,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure
2189,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure
2190,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure
2191,L49413,L,299.5,308.7,2549,13,179,1,Power Failure
2192,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure
2193,L49479,L,299.4,308.7,1446,62.9,134,1,Power Failure
2194,L49511,L,299.3,308.6,1384,53.6,218,1,Overstrain Failure
2195,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure
2196,M17286,M,298.9,308.2,1372,63.6,30,1,Power Failure
2197,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure
2198,L49674,L,299.1,308.8,1329,53.6,207,1,Overstrain Failure
2199,L49682,L,299.2,309,1515,48.9,228,1,Overstrain Failure
2200,L49761,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure
2201,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure
2202,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure
2203,M17609,M,299.7,309.2,1685,28.9,179,1,No Failure
2204,L49941,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure
2205,L50038,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure
2206,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure
2207,M17739,M,300.6,309.4,1367,63.2,45,1,Power Failure
2208,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure
2209,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
2210,L50199,L,300.5,309.8,1379,54.2,207,1,Overstrain Failure
2211,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
2212,M18096,M,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure
2213,L50446,L,301.3,310.1,1269,56.8,195,1,Overstrain Failure
2214,L50530,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure
2215,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure
2216,L50549,L,301.5,310.9,2760,8,15,1,Power Failure
2217,M18317,M,301.5,310.4,2639,12,21,1,Power Failure
2218,L50708,L,302,310.9,1378,53.1,212,1,Overstrain Failure
2219,L50709,L,301.9,310.9,1567,39,214,1,Tool Wear Failure
2220,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
2221,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
2222,L50864,L,302,311.2,1270,65.3,182,1,Overstrain Failure
2223,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
2224,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure
2225,L50967,L,302.3,310.8,1377,47.3,22,1,Heat Dissipation Failure
2226,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure
2227,M18666,M,302.3,310.9,1360,44,67,1,Heat Dissipation Failure
2228,M18674,M,302.1,310.6,1326,59.1,88,1,Heat Dissipation Failure
2229,H33243,H,302.3,310.9,1366,48.4,130,1,Heat Dissipation Failure
2230,L51034,L,302.4,311,1338,67.6,194,1,Power Failure
2231,H33279,H,302.6,311.5,1629,34.4,228,1,Tool Wear Failure
2232,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
2233,L51108,L,302.6,311.5,1442,59.8,169,1,Power Failure
2235,M18795,M,302.6,311.6,1227,68.2,187,1,Overstrain Failure
2236,L51123,L,302.3,311.4,1333,66.7,205,1,Power Failure
2237,L51182,L,302.1,311.2,1454,59.2,153,1,Power Failure
2238,M18884,M,302.1,311,1351,60.3,207,1,Overstrain Failure
2239,L51212,L,302,310.8,1383,50.3,231,1,Overstrain Failure
2240,L51214,L,302,310.8,1615,29,235,1,Tool Wear Failure
2241,M18904,M,301.9,310.9,1419,47.7,20,1,No Failure
2242,L51228,L,301.9,311,2691,12.1,31,1,Power Failure
2243,M19143,M,301.8,309.9,1334,61,182,1,Heat Dissipation Failure
2244,L51465,L,301.7,309.9,1317,49,187,1,Heat Dissipation Failure
2246,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
2247,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
2248,L51487,L,301.4,309.9,1259,63.9,20,1,Heat Dissipation Failure
2249,L51503,L,301.8,310.3,1341,50.5,64,1,Heat Dissipation Failure
2250,L51506,L,301.6,310.1,1362,55.8,70,1,Heat Dissipation Failure
2251,L51508,L,301.6,310.1,1326,48.2,77,1,Heat Dissipation Failure
2252,M19202,M,301.7,309.8,1284,68.2,111,1,Power Failure
2253,M19213,M,302,309.7,1386,62.7,142,1,Power Failure
2254,H33769,H,302,309.8,1280,57.3,147,1,Heat Dissipation Failure
2255,M19221,M,302.1,310.1,1379,48.2,166,1,Heat Dissipation Failure
2256,L51550,L,302,309.9,1308,57.6,197,1,Heat Dissipation Failure
2257,L51563,L,301.7,309.5,1298,65.5,229,1,Heat Dissipation Failure
2258,L51565,L,301.8,309.7,1442,45.3,233,1,Tool Wear Failure
2259,M19249,M,302.1,310,1355,45.1,6,1,Heat Dissipation Failure
2260,M19251,M,302.2,310.1,1368,51.6,12,1,Heat Dissipation Failure
2261,L51580,L,302.3,310.1,1353,50.9,36,1,Heat Dissipation Failure
2262,L51585,L,302.4,310.2,1331,45.5,53,1,Heat Dissipation Failure
2263,L51586,L,302.5,310.3,1326,58.5,55,1,Heat Dissipation Failure
2264,M19269,M,302.4,310.1,1358,54.6,61,1,Heat Dissipation Failure
2265,L51597,L,302.6,310.4,1365,66.8,80,1,Power Failure
2266,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
2267,L51601,L,302.6,310.2,1325,62.4,92,1,Heat Dissipation Failure
2268,M19287,M,302.4,310.1,1379,48.9,107,1,Heat Dissipation Failure
2269,L51615,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
2270,L51621,L,302.5,310.2,1329,50.6,148,1,Heat Dissipation Failure
